x,y
375.0,292.0
375.0,365.0
333.0,208.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,208.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,146.0
417.0,198.0
333.0,104.0
320.0,135.0
347.0,166.0
375.0,208.0
375.0,292.0
375.0,365.0
333.0,198.0
333.0,281.0
320.0,365.0
361.0,156.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,73.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
333.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
320.0,135.0
347.0,177.0
375.0,198.0
375.0,271.0
375.0,365.0
333.0,198.0
333.0,260.0
320.0,354.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,146.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,135.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,135.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,135.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,135.0
347.0,177.0
375.0,198.0
375.0,281.0
375.0,365.0
333.0,198.0
333.0,271.0
320.0,365.0
361.0,146.0
361.0,20.0
361.0,83.0
403.0,93.0
417.0,156.0
431.0,198.0
333.0,93.0
333.0,135.0
347.0,177.0
